lengthRequestLine;lengthMethodGETorPOST;lengthPath;lengthArguments;lengthHost;lengthUserAgent;lengthAccept;lengthReferer;lengthAcceptEncoding;lengthAcceptLanguage;lengthCookie;lengthContentLength;lengthContentType;lengthofDgtinPath;lengthofLtrinPath;lengthofSpcharinPath;lengthofDgtinArguments;lengthofLtrinArguments;lengthofSpcharinArguments;Label
63;3;27;22;14;101;85;48;13;14;50;4;23;0;23;4;0;19;3;1
327;3;27;286;14;101;85;48;13;14;50;4;23;0;23;4;76;150;60;1
63;3;27;22;14;101;85;48;13;14;50;4;23;0;23;4;0;19;3;1
62;3;27;21;14;101;85;48;13;14;50;4;23;0;23;4;4;14;3;1
85;3;27;44;14;101;85;48;13;14;50;3;24;0;23;4;11;20;13;1
90;3;27;49;14;101;85;48;13;14;50;3;24;0;23;4;8;33;8;1
121;3;27;80;14;101;85;48;13;14;50;3;24;0;23;4;30;35;15;1
121;3;27;80;14;101;85;48;13;14;50;3;24;0;23;4;30;35;15;1
115;3;27;74;14;101;85;48;13;14;50;4;23;0;23;4;26;35;13;1
115;3;27;74;14;101;85;48;13;14;50;4;23;0;23;4;26;35;13;1
109;3;27;68;14;101;85;48;13;14;50;4;23;0;23;4;30;27;11;1
109;3;27;68;14;101;85;48;13;14;50;4;23;0;23;4;30;27;11;1
83;3;27;42;14;101;85;48;13;14;50;4;23;0;23;4;13;23;6;1
83;3;27;42;14;101;85;48;13;14;50;4;23;0;23;4;13;23;6;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;15;27;9;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;15;27;9;1
191;3;27;150;14;101;85;48;13;14;50;4;23;0;23;4;68;58;24;1
191;3;27;150;14;101;85;48;13;14;50;4;23;0;23;4;68;58;24;1
92;3;27;51;14;101;85;48;13;14;50;3;24;0;23;4;19;23;9;1
92;3;27;51;14;101;85;48;13;14;50;3;24;0;23;4;19;23;9;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
95;3;27;54;14;101;85;48;13;14;50;3;24;0;23;4;21;23;10;1
95;3;27;54;14;101;85;48;13;14;50;3;24;0;23;4;21;23;10;1
98;3;27;57;14;101;85;48;13;14;50;3;24;0;23;4;23;23;11;1
98;3;27;57;14;101;85;48;13;14;50;3;24;0;23;4;23;23;11;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
98;3;27;57;14;101;85;48;13;14;50;4;23;0;23;4;23;23;11;1
98;3;27;57;14;101;85;48;13;14;50;4;23;0;23;4;23;23;11;1
129;3;27;88;14;101;85;48;13;14;50;3;24;0;23;4;38;35;15;1
129;3;27;88;14;101;85;48;13;14;50;3;24;0;23;4;38;35;15;1
129;3;27;88;14;101;85;48;13;14;50;4;23;0;23;4;38;35;15;1
129;3;27;88;14;101;85;48;13;14;50;4;23;0;23;4;38;35;15;1
126;3;27;85;14;101;85;48;13;14;50;3;24;0;23;4;36;35;14;1
126;3;27;85;14;101;85;48;13;14;50;3;24;0;23;4;36;35;14;1
126;3;27;85;14;101;85;48;13;14;50;4;23;0;23;4;36;35;14;1
126;3;27;85;14;101;85;48;13;14;50;4;23;0;23;4;36;35;14;1
114;3;27;73;14;101;85;48;13;14;50;3;24;0;23;4;25;36;12;1
114;3;27;73;14;101;85;48;13;14;50;3;24;0;23;4;25;36;12;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
86;3;27;45;14;101;85;48;13;14;50;4;23;0;23;4;15;23;7;1
